Player,No.,Age,Pos,G,GS,Wt,Ht,College/Univ,BirthDate,Yrs,AV,Drafted (tm/rnd/yr),Player-additional
Preston Smith,91.0,31.0,LB,17,17,265,5-Jun,Mississippi St.,11/17/92,8,7.0,Washington Redskins / 2nd / 38th pick / 2015,SmitPr00
Patrick Taylor,27.0,25.0,RB,11,0,217,2-Jun,Memphis,4/29/98,2,1.0,NAN,TaylPa01
Zach Tom,50.0,24.0,OL,17,17,304,4-Jun,Wake Forest,3/26/99,1,9.0,Green Bay Packers / 4th / 140th pick / 2022,TomxZa00
Carrington Valentine,37.0,22.0,CB,17,12,189,NAN,Kentucky,9/9/01,Rook,3.0,Green Bay Packers / 7th / 232nd pick / 2023,ValeCa00
Lukas Van Ness,90.0,22.0,LB,17,0,272,5-Jun,Iowa,7/6/01,Rook,1.0,Green Bay Packers / 1st / 13th pick / 2023,VanNLu00
Quay Walker,7.0,23.0,LB,14,14,241,4-Jun,Georgia,5/8/00,1,6.0,Green Bay Packers / 1st / 22nd pick / 2022,WalkQu00
Rasheed Walker,63.0,23.0,T,17,15,324,6-Jun,Penn St.,2/13/00,1,10.0,Green Bay Packers / 7th / 249th pick / 2022,WalkRa00
Christian Watson,9.0,24.0,WR,9,9,208,4-Jun,North Dakota St.,5/12/99,1,4.0,Green Bay Packers / 2nd / 34th pick / 2022,WatsCh00
Kristian Welch,54.0,25.0,LB,14,0,240,3-Jun,Iowa,5/24/98,3,1.0,NAN,WelcKr00
Daniel Whelan,19.0,24.0,P,17,0,216,5-Jun,UC Davis,2/10/99,Rook,1.0,NAN,WhelDa00
Dontayvion Wicks,13.0,22.0,WR,15,6,206,NAN,Virginia,6/16/01,Rook,6.0,Green Bay Packers / 5th / 159th pick / 2023,WickDo00
Emanuel Wilson,31.0,24.0,RB,7,0,226,11-May,Johnson C. SmithFort Valley St.,5/8/99,Rook,1.0,NAN,WilsEm00
Eric Wilson,45.0,29.0,LB,17,0,230,1-Jun,Cincinnati,9/26/94,6,1.0,NAN,WilsEr00
Colby Wooden,96.0,23.0,DL,17,0,273,4-Jun,Auburn,12/21/00,Rook,1.0,Green Bay Packers / 4th / 116th pick / 2023,WoodCo01
Devonte Wyatt,95.0,25.0,DL,17,5,304,3-Jun,Hutchinson (KS)Georgia,3/31/98,1,3.0,Green Bay Packers / 1st / 28th pick / 2022,WyatDe00
Deslin Alexandre (NWT),49.0,25.0,LB,0,0,264,4-Jun,Pittsburgh,6/11/98,Rook,NAN,NAN,AlexDe02
Keshawn Banks (NWT),51.0,24.0,LB,0,0,251,3-Jun,San Diego St.,12/21/99,Rook,NAN,NAN,BankKe00
Tyler Coyle (NWT),24.0,25.0,S,0,0,215,2-Jun,Purdue,11/15/98,2,NAN,NAN,CoylTy00
Grant Dubose (NWT),86.0,22.0,WR,0,0,201,2-Jun,MilesCharlotte,6/20/01,Rook,NAN,Green Bay Packers / 7th / 256th pick / 2023,DuboGr00
Jonathan Ford (NWT),99.0,25.0,DL,0,0,338,5-Jun,Auburn,9/29/98,Rook,NAN,Green Bay Packers / 7th / 234th pick / 2022,FordJo00
Zyon Gilbert (NWT),29.0,24.0,CB,0,0,182,1-Jun,Florida Atlantic,2/4/99,1,NAN,NAN,GilbZy00
Anthony Johnson (NWT),40.0,24.0,CB,0,0,205,2-Jun,Virginia,1/12/99,Rook,NAN,NAN,JohnAn09
Deandre Johnson (NWT),47.0,24.0,LB,0,0,252,3-Jun,Miami (FL),5/27/99,Rook,NAN,NAN,JohnDe09
Alex McGough (NWT),2.0,28.0,QB,0,0,214,3-Jun,Florida International,11/19/95,5,NAN,Seattle Seahawks / 7th / 220th pick / 2018,McGoAl00
Ellis Merriweather (NWT),38.0,24.0,RB,0,0,225,2-Jun,UMass,4/7/99,Rook,NAN,NAN,MerrEl00
Arron Mosby (NWT),53.0,24.0,LB,0,0,250,3-Jun,Fresno St.,4/13/99,1,NAN,NAN,MosbAr00
Kenneth Odumegwu (NWT),56.0,23.0,LB,0,0,259,6-Jun,NAN,11/29/00,Rook,NAN,NAN,OdumKe00
Henry Pearson (NWT),44.0,24.0,FB,2,0,249,2-Jun,Appalachian St.,11/23/99,Rook,0.0,NAN,PearHe00
Thyrick Pitts (NWT),16.0,24.0,WR,0,0,201,1-Jun,Delaware,4/8/99,Rook,NAN,NAN,PittTh00
Jack Podlesny (NWT),6.0,23.0,K,0,0,180,1-Jun,Georgia,3/16/00,Rook,NAN,NAN,PodlJa00
Kadeem Telfort (NWT),77.0,25.0,T,0,0,322,6-Jun,FloridaGarden City (KS)Ala-Birmingham,11/10/98,Rook,NAN,NAN,TelfKa00
Joel Wilson (NWT),82.0,23.0,TE,0,0,250,4-Jun,Central Michigan,6/21/00,Rook,NAN,NAN,WilsJo02
Christian Young (NWT),NAN,NAN,LB,0,0,221,1-Jun,Arizona,NAN,Rook,NAN,NAN,YounCh05
Luke Tenuta (IRD),78.0,24.0,T,0,0,314,6-Jun,Virginia Tech,9/1/99,1,NAN,Buffalo Bills / 6th / 209th pick / 2022,TenuLu00
David Bakhtiari (IR),69.0,32.0,T,1,1,310,4-Jun,Colorado,9/30/91,10,1.0,Green Bay Packers / 4th / 109th pick / 2013,BakhDa00
Tyler Davis (IR),84.0,26.0,TE,0,0,252,4-Jun,ConnecticutGeorgia Tech,4/2/97,3,NAN,Jacksonville Jaguars / 6th / 206th pick / 2020,DaviTy02
Rudy Ford (IR),20.0,29.0,S,13,9,210,Jun-00,Auburn,11/1/94,6,3.0,Arizona Cardinals / 6th / 208th pick / 2017,FordRu00
Eric Stokes (IR),21.0,24.0,CB,3,2,194,Jun-00,Georgia,3/1/99,2,1.0,Green Bay Packers / 1st / 29th pick / 2021,StokEr00
Samori Toure (IR),83.0,25.0,WR,11,0,191,1-Jun,MontanaNebraska,3/24/98,1,1.0,Green Bay Packers / 7th / 258th pick / 2022,TourSa00
Jordan Addison,3.0,21.0,WR,17,14,175,NAN,PittsburghUSC,1/27/02,Rook,7.0,Minnesota Vikings / 1st / 23rd pick / 2023,AddiJo00
Hakeem Adeniji,78.0,26.0,OL,4,0,315,4-Jun,Kansas,12/8/97,3,0.0,Cincinnati Bengals / 6th / 180th pick / 2020,AdenHa00
Brian Asamoah,33.0,23.0,LB,13,0,226,Jun-00,Oklahoma,3/29/00,1,1.0,Minnesota Vikings / 3rd / 66th pick / 2022,AsamBr00
Anthony Barr,54.0,31.0,LB,4,0,257,5-Jun,UCLA,3/18/92,9,1.0,Minnesota Vikings / 1st / 9th pick / 2014,BarrAn00
Mekhi Blackmon,11.0,24.0,CB,15,3,178,11-May,San MateoColoradoUSC,3/18/99,Rook,2.0,Minnesota Vikings / 3rd / 102nd pick / 2023,BlacMe00
Andrew Booth,23.0,23.0,CB,17,1,194,Jun-00,Clemson,9/28/00,1,1.0,Minnesota Vikings / 2nd / 42nd pick / 2022,BootAn00
Garrett Bradbury,56.0,28.0,C,14,14,300,3-Jun,North Carolina St.,6/20/95,4,6.0,Minnesota Vikings / 1st / 18th pick / 2019,BradGa00
Blake Brandel,64.0,26.0,T,17,2,315,7-Jun,Oregon St.,1/23/97,2,2.0,Minnesota Vikings / 6th / 203rd pick / 2020,BranBl00
Jonathan Bullard,90.0,30.0,DL,17,14,290,3-Jun,Florida,10/22/93,7,7.0,Chicago Bears / 3rd / 72nd pick / 2016,BullJo00
Camryn Bynum,24.0,25.0,S,17,17,200,Jun-00,California,7/19/98,2,6.0,Minnesota Vikings / 4th / 125th pick / 2021,BynuCa00
Andre Carter II,55.0,23.0,OLB,12,0,256,6-Jun,Army,3/28/00,Rook,1.0,NAN,CartAn01
Ty Chandler,32.0,25.0,RB,17,4,204,11-May,TennesseeNorth Carolina,5/12/98,1,4.0,Minnesota Vikings / 5th / 169th pick / 2022,ChanTy01
Lewis Cine,6.0,24.0,S,7,0,199,2-Jun,Georgia,10/5/99,1,0.0,Minnesota Vikings / 1st / 32nd pick / 2022,CineLe00
Christian Darrisaw,71.0,24.0,T,15,15,315,5-Jun,Virginia Tech,6/2/99,2,8.0,Minnesota Vikings / 1st / 23rd pick / 2021,DarrCh00
Sheldon Day,52.0,29.0,DL,6,1,294,1-Jun,Notre Dame,7/1/94,7,1.0,Jacksonville Jaguars / 4th / 103rd pick / 2016,DayxSh00
Andrew DePaola,42.0,36.0,LS,17,0,229,1-Jun,Rutgers,7/28/87,9,0.0,NAN,DePaAn00
Joshua Dobbs,15.0,28.0,QB,5,4,216,3-Jun,Tennessee,1/26/95,5,1.0,Pittsburgh Steelers / 4th / 135th pick / 2017,DobbJo00
Akayleb Evans,21.0,24.0,CB,15,15,198,2-Jun,TulsaMissouri,6/22/99,1,5.0,Minnesota Vikings / 4th / 118th pick / 2022,EvanAk00
Jaren Hall,16.0,25.0,QB,3,2,207,Jun-00,BYU,3/24/98,Rook,1.0,Minnesota Vikings / 5th / 164th pick / 2023,HallJa00
C.J. Ham,30.0,30.0,FB,17,5,250,11-May,Augustana (SD),7/22/93,6,0.0,NAN,HamxC.00
Jordan Hicks,58.0,31.0,LB,13,13,236,1-Jun,Texas,6/27/92,8,7.0,Philadelphia Eagles / 3rd / 84th pick / 2015,HickJo00
Danielle Hunter,99.0,29.0,OLB,17,17,263,5-Jun,LSU,10/29/94,8,12.0,Minnesota Vikings / 3rd / 88th pick / 2015,HuntDa01
Ed Ingram,67.0,24.0,G,15,15,307,3-Jun,LSU,2/11/99,1,6.0,Minnesota Vikings / 2nd / 59th pick / 2022,IngrEd00
Lucky Jackson,81.0,26.0,WR,3,0,186,Jun-00,Western Kentucky,7/17/97,Rook,0.0,NAN,JackLu00
Theo Jackson,25.0,25.0,S,15,0,198,1-Jun,Tennessee,10/2/98,1,1.0,Tennessee Titans / 6th / 204th pick / 2022,JackTh00
Justin Jefferson,18.0,24.0,WR,10,9,195,1-Jun,LSU,6/16/99,3,8.0,Minnesota Vikings / 1st / 22nd pick / 2020,JeffJu00
Patrick Jones II,91.0,25.0,OLB,17,4,264,4-Jun,Pittsburgh,9/29/98,2,3.0,Minnesota Vikings / 3rd / 90th pick / 2021,JonePa00
Greg Joseph,1.0,29.0,K,17,0,206,Jun-00,Florida Atlantic,8/4/94,5,2.0,NAN,JoseGr00
Alexander Mattison,2.0,25.0,RB,16,13,215,11-May,Boise St.,6/19/98,4,5.0,Minnesota Vikings / 3rd / 102nd pick / 2019,MattAl01
Josh Metellus,44.0,25.0,S,17,17,207,11-May,Michigan,1/21/98,3,6.0,Minnesota Vikings / 6th / 205th pick / 2020,MeteJo00
Nick Mullens,12.0,28.0,QB,5,3,210,Jun-00,Southern Miss,3/21/95,5,4.0,NAN,MullNi00
Johnny Mundt,86.0,29.0,TE,17,0,233,4-Jun,Oregon,11/23/94,6,1.0,NAN,MundJo00
Byron Murphy,7.0,25.0,CB,14,14,190,11-May,Washington,1/18/98,4,5.0,Arizona Cardinals / 2nd / 33rd pick / 2019,MurpBy00
Nick Muse,34.0,25.0,TE,2,0,252,5-Jun,William & MarySouth Carolina,11/25/98,1,0.0,Minnesota Vikings / 7th / 227th pick / 2022,MuseNi00
Kene Nwangwu,26.0,25.0,RB,9,0,210,1-Jun,Iowa St.,2/9/98,2,0.0,Minnesota Vikings / 4th / 119th pick / 2021,NwanKe00
Brian O'Neill,75.0,28.0,T,14,14,310,7-Jun,Pittsburgh,9/15/95,5,7.0,Minnesota Vikings / 2nd / 62nd pick / 2018,ONeiBr00
Josh Oliver,84.0,26.0,TE,17,14,259,5-Jun,San Jose St.,3/21/97,4,2.0,Jacksonville Jaguars / 3rd / 69th pick / 2019,OlivJo00
K.J. Osborn,17.0,26.0,WR,16,12,203,11-May,BuffaloMiami (FL),6/10/97,3,4.0,Minnesota Vikings / 5th / 176th pick / 2020,OsboKJ00
Ivan Pace,40.0,23.0,LB,17,11,231,NAN,Miami (OH)Cincinnati,12/16/00,Rook,6.0,NAN,PaceIv00
Harrison Phillips,97.0,27.0,DL,17,17,307,3-Jun,Stanford,1/25/96,5,8.0,Buffalo Bills / 3rd / 96th pick / 2018,PhilHa00
Brandon Powell,19.0,28.0,WR,17,2,181,8-May,Florida,9/12/95,5,3.0,NAN,PoweBr00
David Quessenberry,76.0,33.0,T,16,4,306,5-Jun,San Jose St.,8/24/90,6,3.0,Houston Texans / 6th / 176th pick / 2013,QuesDa00
Chris Reed,62.0,31.0,OL,2,0,314,3-Jun,Minnesota St.,7/22/92,7,0.0,NAN,ReedCh00
Dalton Risner,66.0,28.0,G,15,11,312,5-Jun,Kansas St.,7/13/95,4,5.0,Denver Broncos / 2nd / 41st pick / 2019,RisnDa00
Jaquelin Roy,78.0,23.0,DL,12,1,305,3-Jun,LSU,10/22/00,Rook,1.0,Minnesota Vikings / 5th / 141st pick / 2023,RoyxJa00
Austin Schlottmann,65.0,28.0,OL,9,3,300,6-Jun,TCU,9/18/95,4,2.0,NAN,SchlAu00
Harrison Smith,22.0,34.0,S,17,17,211,2-Jun,Notre Dame,2/2/89,11,6.0,Minnesota Vikings / 1st / 29th pick / 2012,SmitHa00
NaJee Thompson,11.0,23.0,CB,15,0,205,11-May,Georgia Southern,7/7/00,Rook,1.0,NAN,ThomNa00
Khyiris Tonga,95.0,27.0,DL,14,2,338,4-Jun,BYU,7/7/96,2,2.0,Chicago Bears / 7th / 250th pick / 2021,TongKh00
Nick Vigil,59.0,30.0,LB,8,0,230,2-Jun,Utah St.,8/20/93,7,1.0,Cincinnati Bengals / 3rd / 87th pick / 2016,VigiNi00
Jay Ward,20.0,23.0,S,17,0,188,1-Jun,LSU,7/13/00,Rook,1.0,Minnesota Vikings / 4th / 134th pick / 2023,WardJa00
Ryan Wright,14.0,23.0,P,17,0,245,3-Jun,Tulane,6/1/00,1,2.0,NAN,WrigRy00
Daylen Baldwin (NWT),85.0,24.0,WR,0,0,212,2-Jun,Morgan St.Jackson St.Michigan,11/24/99,1,NAN,NAN,BaldDa01
Abraham Beauplan (NWT),NAN,NAN,LB,0,0,235,NAN,Marshall,NAN,Rook,NAN,NAN,BeauAb00
Henry Byrd (NWT),68.0,24.0,OL,0,0,310,5-Jun,Princeton,7/1/99,Rook,NAN,NAN,ByrdHe00
Coy Cronk (NWT),63.0,25.0,T,0,0,318,4-Jun,IndianaIowa,1/18/98,1,NAN,NAN,CronCo00
Myles Gaskin (NWT),37.0,26.0,RB,2,0,199,10-May,Washington,2/15/97,4,0.0,Miami Dolphins / 7th / 234th pick / 2019,GaskMy00
A.J. Green (NWT),NAN,25.0,CB,0,0,198,2-Jun,Oklahoma St.,6/9/98,3,NAN,NAN,GreeAJ00
N'Keal Harry (NWT),13.0,26.0,WR,9,0,225,4-Jun,Arizona St.,12/17/97,4,0.0,New England Patriots / 1st / 32nd pick / 2019,HarrNK00
Trishton Jackson (NWT),9.0,25.0,WR,7,0,191,1-Jun,Michigan St.Syracuse,3/9/98,Rook,0.0,NAN,JackTr02
DeWayne McBride (NWT),27.0,22.0,RB,0,0,209,10-May,Ala-Birmingham,7/8/01,Rook,NAN,Minnesota Vikings / 7th / 222nd pick / 2023,McBrDe00
Tyrese Robinson (NWT),79.0,NAN,OL,0,0,325,NAN,Oklahoma,NAN,Rook,NAN,NAN,RobiTy01
Thayer Thomas (NWT),89.0,25.0,WR,0,0,195,Jun-00,North Carolina State,5/20/98,Rook,NAN,NAN,ThomTh01
Jaylin Williams (NWT),38.0,23.0,CB,3,0,195,10-May,Indiana,2/26/00,Rook,0.0,NAN,WillJa14
Joejuan Williams (NWT),29.0,26.0,CB,2,0,212,3-Jun,Vanderbilt,12/6/97,4,0.0,New England Patriots / 2nd / 45th pick / 2019,WillJo13
Cam Akers (IR),31.0,24.0,RB,6,0,217,10-May,Florida St.,6/22/99,3,1.0,Los Angeles Rams / 2nd / 52nd pick / 2020,AkerCa00
Kirk Cousins (IR),8.0,35.0,QB,8,8,205,3-Jun,Michigan St.,8/19/88,11,7.0,Washington Redskins / 4th / 102nd pick / 2012,CousKi00
Marcus Davenport (IR),0.0,27.0,OLB,4,3,265,6-Jun,Texas-San Antonio,9/4/96,5,2.0,New Orleans Saints / 1st / 14th pick / 2018,DaveMa00
Troy Dye (IR),45.0,27.0,LB,15,2,225,3-Jun,Oregon,9/18/96,3,2.0,Minnesota Vikings / 4th / 132nd pick / 2020,DyexTr00
T.J. Hockenson (IR),87.0,26.0,TE,15,11,248,5-Jun,Iowa,7/3/97,4,7.0,Detroit Lions / 1st / 8th pick / 2019,HockTJ00
Malik Knowles (IR),81.0,23.0,WR,0,0,196,2-Jun,Kansas St.,8/17/00,Rook,NAN,NAN,KnowMa00
William Kwenkeu (IR),47.0,26.0,LB,0,0,235,1-Jun,Temple,1/8/97,1,NAN,NAN,KwenWi00
Dean Lowry (IR),94.0,29.0,DL,9,4,296,6-Jun,Northwestern,6/9/94,7,2.0,Green Bay Packers / 4th / 137th pick / 2016,LowrDe00
James Lynch (IR),92.0,24.0,DL,0,0,295,4-Jun,Baylor,1/20/99,3,NAN,Minnesota Vikings / 4th / 130th pick / 2020,LyncJa00
Jalen Nailor (IR),83.0,24.0,WR,6,1,190,Jun-00,Michigan St.,3/2/99,1,0.0,Minnesota Vikings / 6th / 191st pick / 2022,NailJa00
Oli Udoh (IR),74.0,26.0,T,2,1,320,6-Jun,Elon,2/14/97,4,0.0,Minnesota Vikings / 6th / 193rd pick / 2019,UdohOl01
D.J. Wonnum (IR),98.0,26.0,OLB,15,14,258,5-Jun,South Carolina,10/31/97,3,8.0,Minnesota Vikings / 4th / 117th pick / 2020,WonnDJ00
